ring_id,vertex_id,x,y
0,0,0.0,0
0,1,8.0,0
0,2,16.0,0
0,3,24.0,0
0,4,32.0,0
0,5,40.0,0
0,6,48.0,0
0,7,56.0,0
0,8,64.0,0
0,9,72.0,0
0,10,80.0,0
0,11,88.0,0
0,12,96.0,0
0,13,104.0,0
0,14,112.0,0
0,15,120.0,0
0,16,128.0,0
0,17,136.0,0
0,18,144.0,0
0,19,152.0,0
0,20,160.0,0
0,21,168.0,0
0,22,176.0,0
0,23,184.0,0
0,24,192.0,0
0,25,200.0,0
0,26,208.0,0
0,27,216.0,0
0,28,224.0,0
0,29,232.0,0
0,30,240.0,0
0,31,248.0,0
0,32,256.0,0
0,33,264.0,0
0,34,272.0,0
0,35,280.0,0
0,36,288.0,0
0,37,296.0,0
0,38,304.0,0
0,39,312.0,0
0,40,320.0,0
0,41,328.0,0
0,42,336.0,0
0,43,344.0,0
0,44,352.0,0
0,45,360.0,0
0,46,368.0,0
0,47,376.0,0
0,48,384.0,0
0,49,392.0,0
0,50,400.0,0
0,51,408.0,0
0,52,416.0,0
0,53,424.0,0
0,54,432.0,0
0,55,440.0,0
0,56,448.0,0
0,57,456.0,0
0,58,464.0,0
0,59,472.0,0
0,60,480.0,0
0,61,488.0,0
0,62,496.0,0
0,63,504.0,0
0,64,512.0,0
0,65,520.0,0
0,66,528.0,0
0,67,536.0,0
0,68,544.0,0
0,69,552.0,0
0,70,560.0,0
0,71,568.0,0
0,72,576.0,0
0,73,584.0,0
0,74,592.0,0
0,75,600.0,0
0,76,608.0,0
0,77,616.0,0
0,78,624.0,0
0,79,632.0,0
0,80,640.0,0
0,81,648.0,0
0,82,656.0,0
0,83,664.0,0
0,84,672.0,0
0,85,680.0,0
0,86,688.0,0
0,87,696.0,0
0,88,704.0,0
0,89,712.0,0
0,90,720.0,0
0,91,728.0,0
0,92,736.0,0
0,93,744.0,0
0,94,752.0,0
0,95,760.0,0
0,96,768.0,0
0,97,776.0,0
0,98,784.0,0
0,99,792.0,0
0,100,800.0,0
0,101,808.0,0
0,102,816.0,0
0,103,824.0,0
0,104,832.0,0
0,105,840.0,0
0,106,848.0,0
0,107,856.0,0
0,108,864.0,0
0,109,872.0,0
0,110,880.0,0
0,111,888.0,0
0,112,896.0,0
0,113,904.0,0
